Designator,Mid X,Mid Y,Rotation,Layer
C1,113.43075,-73.775,270.0,top
C10,70.45,-135.2,0.0,top
C11,72.045828,-114.795,90.0,top
C12,113.45075,-103.04,270.0,top
C13,129.6,-135.2,180.0,top
C2,121.38075,-97.45,180.0,top
C3,121.38075,-105.45,0.0,top
C4,122.996627,-67.787499,180.0,top
C5,70.5,-104.75,270.0,top
C6,102.5,-119.5,180.0,top
C7,103.1,-154.65,90.0,top
C8,89.1,-154.65,90.0,top
C9,117.0,-154.7,90.0,top
CBOOT1,94.120581,-106.381575,180.0,bottom
CIN1,87.680581,-103.069075,90.0,bottom
CINX1,85.680581,-103.566575,90.0,bottom
COUT1,91.960581,-99.849075,270.0,bottom
D1,76.1515,-82.392946,0.0,top
D2,76.14525,-86.82628,0.0,top
D3,76.15025,-77.959613,0.0,top
D4,76.134,-73.52628,0.0,top
D5,76.14425,-69.100946,0.0,top
D6,76.14525,-64.659613,0.0,top
D7,76.14425,-60.22628,0.0,top
D8,76.14025,-55.747946,0.0,top
J1,125.1395,-59.6,270.0,top
J10,69.759,-76.12878,90.0,bottom
J11,69.759,-85.812113,90.0,bottom
J2,129.65,-141.4,0.0,bottom
J3,110.65,-154.7,90.0,bottom
J4,96.75,-154.65,90.0,bottom
J5,70.3,-141.4,180.0,bottom
J6,82.7,-154.65,90.0,bottom
J7,68.191643,-115.072528,90.0,bottom
J8,69.759,-56.762113,90.0,bottom
J9,69.759,-66.445446,90.0,bottom
L1,98.140581,-101.421575,90.0,bottom
Q1,118.62825,-101.45,90.0,top
R1,79.31275,-86.82628,0.0,top
R10,105.25,-125.5,180.0,top
R11,105.25,-124.0,180.0,top
R12,102.0,-128.5,180.0,top
R13,124.43075,-100.55,0.0,top
R14,124.43075,-102.375,0.0,top
R15,79.3065,-82.392946,0.0,top
R16,97.025001,-77.357105,0.0,top
R18,79.30775,-77.959613,0.0,top
R19,79.324,-73.52628,0.0,top
R2,116.746627,-72.287499,270.0,top
R20,79.31375,-69.092946,0.0,top
R21,79.31275,-64.659613,0.0,top
R22,79.31375,-60.22628,0.0,top
R23,79.31775,-55.747946,0.0,top
R25,99.100001,-79.982105,270.0,top
R26,97.600001,-79.982105,270.0,top
R3,125.746627,-73.787499,180.0,top
R4,125.746627,-72.287499,180.0,top
R5,75.0,-111.0,0.0,top
R6,76.5,-102.0,270.0,top
R7,75.0,-102.0,270.0,top
R8,79.5,-105.25,270.0,top
R9,96.3,-123.9875,270.0,top
RFBB1,88.49,-97.69,270.0,bottom
RFBT1,89.76,-97.7025,90.0,bottom
U1,91.390581,-104.211576,0.0,bottom
U2,121.496627,-72.287499,90.0,top
U3,75.0,-106.25,180.0,top
U4,101.0,-124.0,90.0,top
U5,93.264,-67.98828,0.0,top
U6,98.09645,-78.253573,90.0,bottom
